Timecode,BlendshapeCount,CheekSquintRight,EyeSquintRight,MouthDimpleRight,NoseSneerRight,MouthSmileRight,JawOpen,MouthUpperUpRight,BrowDownRight,CheekSquintLeft,EyeSquintLeft,MouthDimpleLeft,NoseSneerLeft,MouthSmileLeft,MouthUpperUpLeft,BrowDownLeft
02:50:02:14.178,61,0.563320438,0.296131293,0.120511517,0.323908411,0.852194697,0.093748397,0.410553142,0.416319209,0.563320438,0.296131293,0.120511517,0.323908411,0.852194697,0.410553142,0.416319209
02:50:02:15.180,61,0.563220451,0.295995101,0.120542629,0.324007213,0.852197995,0.093756521,0.410531153,0.416353005,0.563220451,0.295995101,0.120542629,0.324007213,0.852197995,0.410531153,0.416353005
02:50:02:16.182,61,0.557464475,0.29303665,0.121388141,0.325006296,0.85184589,0.093184273,0.410696308,0.41601822,0.557464475,0.29303665,0.121388141,0.325006296,0.85184589,0.410696308,0.41601822
02:50:02:17.183,61,0.555949812,0.292432365,0.121501413,0.323835974,0.85160015,0.093290204,0.409847925,0.415167508,0.555949812,0.292432365,0.121501413,0.323835974,0.85160015,0.409847925,0.415167508
02:50:02:18.185,61,0.554597706,0.290881698,0.121666276,0.323069446,0.85147058,0.093251831,0.407059429,0.414099053,0.554597706,0.290881698,0.121666276,0.323069446,0.85147058,0.407059429,0.414099053
02:50:02:19.186,61,0.55262738,0.288648754,0.12189106,0.323754629,0.85111469,0.09265244,0.406336136,0.415293773,0.55262738,0.288648754,0.12189106,0.323754629,0.85111469,0.406336136,0.415293773
02:50:02:20.188,61,0.552415252,0.28814851,0.121947096,0.323783629,0.851347446,0.092599315,0.406563555,0.415442685,0.552415252,0.28814851,0.121947096,0.323783629,0.851347446,0.406563555,0.415442685
02:50:02:21.189,61,0.550320864,0.286484852,0.121984792,0.32423497,0.851434032,0.0926572,0.403363576,0.411906878,0.550320864,0.286484852,0.121984792,0.32423497,0.851434032,0.403363576,0.411906878
02:50:02:22.191,61,0.549778998,0.28541181,0.12253941,0.327662336,0.850373348,0.091986118,0.403127442,0.411598255,0.549778998,0.28541181,0.12253941,0.327662336,0.850373348,0.403127442,0.411598255
02:50:02:23.193,61,0.549778998,0.28541181,0.12253941,0.327662336,0.850373348,0.091986118,0.403127442,0.411598255,0.549778998,0.28541181,0.12253941,0.327662336,0.850373348,0.403127442,0.411598255
02:50:02:24.194,61,0.550154264,0.283801722,0.123724613,0.329143065,0.8498484,0.091860252,0.402257281,0.409975829,0.550154264,0.283801722,0.123724613,0.329143065,0.8498484,0.402257281,0.409975829
02:50:02:25.196,61,0.549106653,0.283469729,0.123494841,0.3287383,0.848521193,0.091876737,0.40093484,0.409240874,0.549106653,0.283469729,0.123494841,0.3287383,0.848521193,0.40093484,0.409240874
02:50:02:26.197,61,0.548666437,0.281814146,0.123635835,0.328778965,0.847837627,0.091039336,0.400149979,0.407514609,0.548666437,0.281814146,0.123635835,0.328778965,0.847837627,0.400149979,0.407514609
02:50:02:27.199,61,0.548686206,0.281558591,0.123638575,0.328902577,0.847492963,0.090313285,0.397616396,0.407295415,0.548686206,0.281558591,0.123638575,0.328902577,0.847492963,0.397616396,0.407295415
02:50:02:28.200,61,0.548800409,0.28217688,0.12367926,0.328975961,0.847472539,0.090380096,0.398079373,0.407076015,0.548800409,0.28217688,0.12367926,0.328975961,0.847472539,0.398079373,0.407076015
02:50:02:29.202,61,0.549408118,0.282493365,0.123613998,0.329019226,0.848072827,0.08992316,0.398146093,0.406720006,0.549408118,0.282493365,0.123613998,0.329019226,0.848072827,0.398146093,0.406720006
02:50:02:30.204,61,0.549560825,0.282499038,0.123685041,0.328894938,0.847987761,0.089135365,0.396998952,0.406515134,0.549560825,0.282499038,0.123685041,0.328894938,0.847987761,0.396998952,0.406515134
02:50:02:31.205,61,0.551962127,0.283357618,0.123497448,0.328977553,0.848253081,0.08789721,0.394181232,0.406580451,0.551962127,0.283357618,0.123497448,0.328977553,0.848253081,0.394181232,0.406580451
02:50:02:32.207,61,0.552731842,0.282433994,0.123266337,0.32640709,0.846225719,0.085686979,0.395700132,0.406207656,0.552731842,0.282433994,0.123266337,0.32640709,0.846225719,0.395700132,0.406207656
02:50:02:33.208,61,0.555153981,0.283759318,0.122941314,0.315742326,0.844946464,0.090908512,0.399726555,0.405786787,0.555153981,0.283759318,0.122941314,0.315742326,0.844946464,0.399726555,0.405786787
02:50:02:34.210,61,0.550177435,0.280610368,0.122395735,0.315181561,0.844622542,0.091862344,0.401267973,0.402960348,0.550177435,0.280610368,0.122395735,0.315181561,0.844622542,0.401267973,0.402960348
02:50:02:35.211,61,0.549808477,0.280238797,0.122386505,0.315110097,0.84457615,0.091857802,0.400898926,0.401963888,0.549808477,0.280238797,0.122386505,0.315110097,0.84457615,0.400898926,0.401963888
02:50:02:36.213,61,0.550539071,0.279640064,0.122280695,0.315880987,0.844782531,0.092052165,0.40191366,0.401806607,0.550539071,0.279640064,0.122280695,0.315880987,0.844782531,0.40191366,0.401806607
02:50:02:37.215,61,0.546738749,0.279496459,0.122068574,0.315314072,0.842336694,0.092141345,0.398865697,0.401763263,0.546738749,0.279496459,0.122068574,0.315314072,0.842336694,0.398865697,0.401763263
